ydstogo,yardline_100,score_differential,game_seconds_remaining,distance_group,field_zone,score_state,time_state,decision,epa,wpa
5.0,69.0,3.0,16.0,MEDIUM,OWN_TERRITORY,LEADING,LATE,PUNT,0.019655892479931936,0.05177876353263855
10.0,64.0,0.0,3462.0,LONG,OWN_TERRITORY,TIED,EARLY,PUNT,-0.06973553216084838,0.009366899728775024
7.0,74.0,0.0,3373.0,LONG,OWN_TERRITORY,TIED,EARLY,PUNT,1.3222268130630255,0.043935686349868774
2.0,2.0,-7.0,2640.0,SHORT,RED_ZONE,TRAILING,EARLY,FIELD_GOAL,0.03320764154614819,0.01847025752067566
9.0,69.0,4.0,2597.0,LONG,OWN_TERRITORY,LEADING,EARLY,PUNT,0.7710181633010507,0.06848862767219543
1.0,76.0,-4.0,2507.0,SHORT,OWN_TERRITORY,TRAILING,EARLY,PUNT,-1.1725950427353382,-0.0023314952850341797
21.0,79.0,-11.0,1931.0,VERY_LONG,OWN_TERRITORY,TRAILING,EARLY,PUNT,-0.7785068722441792,-0.007526665925979614
6.0,65.0,-11.0,1653.0,LONG,OWN_TERRITORY,TRAILING,MID,PUNT,0.091916021425277,-0.003733985126018524
11.0,60.0,11.0,1468.0,VERY_LONG,OWN_TERRITORY,LEADING,MID,PUNT,-0.7743875470478088,0.004975810647010803
10.0,71.0,-11.0,1417.0,LONG,OWN_TERRITORY,TRAILING,MID,PUNT,0.016031757928431034,0.01411517709493637
5.0,56.0,11.0,1332.0,MEDIUM,OWN_TERRITORY,LEADING,MID,PUNT,-0.7397597166709602,0.017951011657714844
1.0,71.0,-11.0,1243.0,SHORT,OWN_TERRITORY,TRAILING,MID,GO,2.0883579624351114,0.04932187497615814
14.0,37.0,-11.0,1007.0,VERY_LONG,MIDFIELD,TRAILING,MID,FIELD_GOAL,2.606299679336798,0.03929834067821503
1.0,51.0,8.0,859.0,SHORT,OWN_TERRITORY,LEADING,MID,PUNT,-0.9402512861415744,0.004600942134857178
4.0,51.0,-8.0,734.0,MEDIUM,OWN_TERRITORY,TRAILING,MID,PUNT,-0.872771080583334,-0.026651397347450256
3.0,3.0,-15.0,163.0,MEDIUM,RED_ZONE,TRAILING,LATE,GO,-3.164959821267985,-0.006198091432452202
8.0,17.0,0.0,3259.0,LONG,RED_ZONE,TIED,EARLY,FIELD_GOAL,0.3813934858931196,0.010631680488586426
6.0,37.0,-2.0,2610.0,LONG,MIDFIELD,TRAILING,EARLY,FIELD_GOAL,2.382407035298643,0.00748017430305481
8.0,70.0,-6.0,2274.0,LONG,OWN_TERRITORY,TRAILING,EARLY,PUNT,-0.24041958106681705,0.037125974893569946
5.0,33.0,6.0,1979.0,MEDIUM,OPPONENT_21_35,LEADING,EARLY,FIELD_GOAL,1.7475965166395582,0.05210655927658081
6.0,66.0,-2.0,1695.0,LONG,OWN_TERRITORY,TRAILING,MID,PUNT,0.3300869013182819,-0.030323535203933716
3.0,77.0,2.0,1597.0,MEDIUM,OWN_TERRITORY,LEADING,MID,PUNT,0.8727874993346632,-0.015169501304626465
7.0,63.0,-2.0,1448.0,LONG,OWN_TERRITORY,TRAILING,MID,PUNT,-0.9132127813063562,-0.04786139726638794
1.0,1.0,-5.0,426.0,SHORT,RED_ZONE,TRAILING,MID,GO,2.537906664307229,0.19648315203189848
24.0,77.0,-1.0,329.0,VERY_LONG,OWN_TERRITORY,TRAILING,MID,PUNT,0.6675198536831886,-0.020415067672729492
5.0,74.0,1.0,201.0,MEDIUM,OWN_TERRITORY,LEADING,LATE,PUNT,0.12030832120217383,-0.0369625985622406
11.0,42.0,-1.0,68.0,VERY_LONG,MIDFIELD,TRAILING,LATE,FIELD_GOAL,2.878689103764995,0.22918418049812317
3.0,62.0,-2.0,25.0,MEDIUM,OWN_TERRITORY,TRAILING,LATE,GO,-1.9014838596340269,-0.20044255256652832
10.0,47.0,0.0,3434.0,LONG,MIDFIELD,TIED,EARLY,PUNT,0.2983898490201682,0.03344458341598511
5.0,60.0,0.0,2535.0,MEDIUM,OWN_TERRITORY,TIED,EARLY,PUNT,-1.1861716064158827,-0.013093531131744385
11.0,66.0,0.0,2476.0,VERY_LONG,OWN_TERRITORY,TIED,EARLY,PUNT,0.6585953985340893,0.05143815279006958
7.0,68.0,0.0,2291.0,LONG,OWN_TERRITORY,TIED,EARLY,PUNT,0.43898712657392025,0.02698078751564026
11.0,87.0,0.0,2174.0,VERY_LONG,OWN_TERRITORY,TIED,EARLY,PUNT,0.49287230940535665,0.050958722829818726
8.0,8.0,0.0,1860.0,LONG,RED_ZONE,TIED,EARLY,FIELD_GOAL,-3.42519709887074,-0.0846400260925293
3.0,64.0,3.0,1546.0,MEDIUM,OWN_TERRITORY,LEADING,MID,PUNT,-0.539456847589463,-0.025065690279006958
2.0,30.0,-3.0,1173.0,SHORT,OPPONENT_21_35,TRAILING,MID,GO,2.5435777850216255,0.10153409838676453
2.0,18.0,-3.0,1041.0,SHORT,RED_ZONE,TRAILING,MID,FIELD_GOAL,-4.3547450405316726,-0.18796509504318237
2.0,14.0,-3.0,678.0,SHORT,RED_ZONE,TRAILING,MID,GO,2.3952777982340194,0.0963100790977478
14.0,14.0,-3.0,585.0,VERY_LONG,RED_ZONE,TRAILING,MID,FIELD_GOAL,0.22009674035422044,0.03269088268280029
16.0,69.0,0.0,501.0,VERY_LONG,OWN_TERRITORY,TIED,MID,PUNT,-0.2500755460932851,0.06949025392532349
1.0,19.0,0.0,208.0,SHORT,RED_ZONE,TIED,LATE,FIELD_GOAL,0.4350742187204393,0.052919358015060425
8.0,58.0,-7.0,3441.0,LONG,OWN_TERRITORY,TRAILING,EARLY,PUNT,-0.1126294219866395,-0.005217432975769043
8.0,41.0,7.0,3094.0,LONG,MIDFIELD,LEADING,EARLY,PUNT,-0.16382926981896162,-0.004535794258117676
5.0,87.0,-7.0,2999.0,MEDIUM,OWN_TERRITORY,TRAILING,EARLY,PUNT,0.04549050098285079,-0.023848384618759155
5.0,57.0,7.0,2913.0,MEDIUM,OWN_TERRITORY,LEADING,EARLY,PUNT,0.20363798853941262,0.0023832321166992188
1.0,64.0,-7.0,2722.0,SHORT,OWN_TERRITORY,TRAILING,EARLY,GO,2.357666828436777,0.05201846361160278
6.0,30.0,-7.0,2421.0,LONG,OPPONENT_21_35,TRAILING,EARLY,FIELD_GOAL,1.1946521950175508,0.037623047828674316
1.0,47.0,4.0,2343.0,SHORT,MIDFIELD,LEADING,EARLY,GO,-3.8448255045805126,-0.05435389280319214
1.0,27.0,-3.0,1920.0,SHORT,OPPONENT_21_35,TRAILING,EARLY,GO,1.4131854182924144,0.07034143805503845
7.0,22.0,-3.0,1857.0,LONG,OPPONENT_21_35,TRAILING,EARLY,FIELD_GOAL,0.5146264219780812,0.041042059659957886
15.0,83.0,0.0,1820.0,VERY_LONG,OWN_TERRITORY,TIED,EARLY,PUNT,-0.05216363479848951,0.04371994733810425
6.0,26.0,0.0,1606.0,LONG,OPPONENT_21_35,TIED,MID,FIELD_GOAL,-4.350616908098277,-0.07893422245979309
17.0,73.0,0.0,1497.0,VERY_LONG,OWN_TERRITORY,TIED,MID,PUNT,-2.532764694886282,-0.02539461851119995
13.0,18.0,-7.0,923.0,VERY_LONG,RED_ZONE,TRAILING,MID,FIELD_GOAL,0.43244224716028423,0.060967981815338135
12.0,51.0,4.0,669.0,VERY_LONG,OWN_TERRITORY,LEADING,MID,PUNT,0.07258333708159626,0.009392589330673218
2.0,3.0,-4.0,181.0,SHORT,RED_ZONE,TRAILING,LATE,GO,3.1780399261333514,0.1787433624267578
4.0,4.0,-4.0,143.0,MEDIUM,RED_ZONE,TRAILING,LATE,GO,4.184020071174018,0.25053488687364367
